Insert,,,,,,,search,,,,,
1.08E-06,1.07E-06,2.00E-04,3.55E-04,1.55E-06,5.64E-06,,1.28E-02,1.55E-02,6.12E-04,1.87E-03,8.96E-05,0.00015152
1.07E-06,1.06E-06,2.01E-04,3.59E-04,1.55E-06,5.64E-06,,1.28E-02,1.56E-02,6.13E-04,1.87E-03,8.96E-05,0.00015152
1.01E-06,1.01E-06,2.02E-04,3.64E-04,1.55E-06,5.66E-06,,1.29E-02,1.57E-02,6.14E-04,1.87E-03,8.96E-05,0.00015152
1.09E-06,1.06E-06,2.03E-04,3.68E-04,1.57E-06,5.66E-06,,1.30E-02,1.58E-02,6.15E-04,1.88E-03,8.96E-05,0.00015152
1.07E-06,1.06E-06,2.04E-04,3.71E-04,1.57E-06,5.81E-06,,1.31E-02,1.59E-02,6.16E-04,1.88E-03,8.96E-05,0.0001516
1.29E-06,1.22E-06,2.05E-04,3.75E-04,1.59E-06,5.81E-06,,1.32E-02,1.60E-02,6.17E-04,1.88E-03,8.96E-05,0.0001516
1.14E-06,1.01E-06,2.06E-04,3.78E-04,1.59E-06,6.05E-06,,1.33E-02,1.61E-02,6.18E-04,1.88E-03,8.96E-05,0.00015165
1.09E-06,1.06E-06,2.07E-04,3.82E-04,1.59E-06,6.28E-06,,1.33E-02,1.62E-02,6.19E-04,1.88E-03,8.96E-05,0.00015165
1.07E-06,1.10E-06,2.09E-04,3.85E-04,1.61E-06,6.61E-06,,1.34E-02,1.63E-02,6.20E-04,1.88E-03,8.96E-05,0.00015186
1.10E-06,1.06E-06,2.10E-04,3.87E-04,1.61E-06,6.76E-06,,1.35E-02,1.64E-02,6.21E-04,1.88E-03,8.96E-05,0.00015186
1.07E-06,1.06E-06,2.11E-04,3.90E-04,1.63E-06,6.82E-06,,1.36E-02,1.65E-02,6.22E-04,1.89E-03,8.96E-05,0.00015187
1.01E-06,1.02E-06,2.12E-04,3.92E-04,1.63E-06,7.08E-06,,1.37E-02,1.66E-02,6.23E-04,1.89E-03,8.96E-05,0.00015199
1.09E-06,1.06E-06,2.13E-04,3.95E-04,1.63E-06,7.16E-06,,1.38E-02,1.67E-02,6.24E-04,1.89E-03,8.96E-05,0.00015199
1.07E-06,1.06E-06,2.14E-04,3.98E-04,1.65E-06,7.28E-06,,1.38E-02,1.68E-02,6.25E-04,1.89E-03,8.96E-05,0.00015199
1.07E-06,1.06E-06,2.16E-04,4.00E-04,1.65E-06,7.36E-06,,1.39E-02,1.69E-02,6.26E-04,1.89E-03,8.96E-05,0.00015199
1.03E-06,1.01E-06,2.17E-04,4.04E-04,1.67E-06,7.42E-06,,1.40E-02,1.70E-02,6.27E-04,1.89E-03,8.96E-05,0.00015199
1.07E-06,1.06E-06,2.18E-04,4.07E-04,1.67E-06,7.42E-06,,1.41E-02,1.71E-02,6.29E-04,1.89E-03,8.96E-05,0.00015199
1.07E-06,1.06E-06,2.19E-04,4.10E-04,1.67E-06,7.49E-06,,1.42E-02,1.72E-02,6.30E-04,1.89E-03,8.96E-05,0.00015199
1.10E-06,1.06E-06,2.20E-04,4.20E-04,1.69E-06,7.49E-06,,1.43E-02,1.73E-02,6.31E-04,1.90E-03,8.96E-05,0.00015199
1.07E-06,1.08E-06,2.21E-04,4.35E-04,1.69E-06,7.52E-06,,1.43E-02,1.74E-02,6.32E-04,1.90E-03,8.96E-05,0.00015199
1.01E-06,1.01E-06,2.22E-04,4.40E-04,1.69E-06,7.52E-06,,1.44E-02,1.75E-02,6.33E-04,1.90E-03,8.96E-05,0.00015199
1.15E-06,1.06E-06,2.23E-04,4.44E-04,1.71E-06,7.52E-06,,1.45E-02,1.76E-02,6.34E-04,1.90E-03,8.96E-05,0.00015199
1.09E-06,1.06E-06,2.24E-04,4.52E-04,1.71E-06,7.54E-06,,1.46E-02,1.77E-02,6.35E-04,1.90E-03,8.96E-05,0.00015199
1.07E-06,1.30E-06,2.25E-04,4.58E-04,1.73E-06,7.54E-06,,1.47E-02,1.78E-02,6.36E-04,1.90E-03,8.96E-05,0.00015199
1.03E-06,1.35E-06,2.26E-04,4.64E-04,1.73E-06,7.56E-06,,1.48E-02,1.79E-02,6.37E-04,1.91E-03,8.96E-05,0.00015199
1.22E-06,1.09E-06,2.28E-04,4.68E-04,1.73E-06,7.56E-06,,1.48E-02,1.80E-02,6.38E-04,1.91E-03,8.96E-05,0.00015199
1.06E-06,1.07E-06,2.29E-04,4.73E-04,1.75E-06,7.56E-06,,1.49E-02,1.81E-02,6.39E-04,1.91E-03,8.96E-05,0.00015199
1.06E-06,1.06E-06,2.30E-04,4.76E-04,1.75E-06,7.57E-06,,1.50E-02,1.82E-02,6.40E-04,1.91E-03,8.96E-05,0.00015199
1.12E-06,1.06E-06,2.31E-04,4.79E-04,1.76E-06,8.82E-06,,1.51E-02,1.83E-02,6.41E-04,1.91E-03,8.96E-05,0.00015199
1.01E-06,1.01E-06,2.32E-04,4.82E-04,1.76E-06,9.02E-06,,1.52E-02,1.84E-02,6.42E-04,1.91E-03,8.96E-05,0.00015199
1.06E-06,1.10E-06,2.33E-04,4.85E-04,1.76E-06,9.02E-06,,1.53E-02,1.85E-02,6.43E-04,1.91E-03,8.96E-05,0.00015199
1.07E-06,1.06E-06,2.34E-04,4.88E-04,1.77E-06,9.05E-06,,1.53E-02,1.86E-02,6.44E-04,1.92E-03,8.96E-05,0.00015199
1.06E-06,1.06E-06,2.35E-04,4.91E-04,1.77E-06,9.05E-06,,1.54E-02,1.87E-02,6.45E-04,1.92E-03,8.96E-05,0.00015207
1.06E-06,1.06E-06,2.36E-04,4.94E-04,1.79E-06,9.05E-06,,1.55E-02,1.88E-02,6.46E-04,1.92E-03,8.96E-05,0.00015217
1.01E-06,1.02E-06,2.37E-04,4.97E-04,1.79E-06,9.08E-06,,1.56E-02,1.89E-02,6.47E-04,1.92E-03,8.96E-05,0.00015235
1.19E-06,1.06E-06,2.38E-04,5.00E-04,1.79E-06,9.08E-06,,1.57E-02,1.90E-02,6.48E-04,1.92E-03,8.96E-05,0.00015235
1.08E-06,1.05E-06,2.39E-04,5.03E-04,1.81E-06,9.08E-06,,1.57E-02,1.91E-02,6.49E-04,1.92E-03,8.96E-05,0.00015235
1.06E-06,1.05E-06,2.40E-04,5.07E-04,1.83E-06,9.10E-06,,1.58E-02,1.92E-02,6.50E-04,1.93E-03,8.96E-05,0.00015235
1.02E-06,1.02E-06,2.41E-04,5.10E-04,1.85E-06,9.10E-06,,1.59E-02,1.93E-02,6.51E-04,1.93E-03,8.96E-05,0.00015235
1.20E-06,1.06E-06,2.42E-04,5.13E-04,1.85E-06,9.11E-06,,1.60E-02,1.94E-02,6.52E-04,1.93E-03,8.96E-05,0.00015235
1.06E-06,1.05E-06,2.43E-04,5.16E-04,1.85E-06,9.11E-06,,1.61E-02,1.95E-02,6.53E-04,1.93E-03,8.96E-05,0.00015242
1.06E-06,1.05E-06,2.44E-04,5.19E-04,1.87E-06,9.11E-06,,1.62E-02,1.96E-02,6.54E-04,1.93E-03,8.96E-05,0.00015242
1.12E-06,1.06E-06,2.45E-04,5.22E-04,1.87E-06,9.12E-06,,1.62E-02,1.96E-02,6.55E-04,1.93E-03,8.96E-05,0.00015252
1.01E-06,1.65E-06,2.46E-04,5.25E-04,1.87E-06,9.12E-06,,1.63E-02,1.97E-02,6.56E-04,1.94E-03,8.96E-05,0.00015267
1.06E-06,1.07E-06,2.47E-04,5.30E-04,1.90E-06,9.13E-06,,1.64E-02,1.98E-02,6.57E-04,1.94E-03,8.96E-05,0.0001528
1.06E-06,1.05E-06,2.48E-04,5.37E-04,1.90E-06,9.13E-06,,1.65E-02,1.99E-02,6.58E-04,1.94E-03,8.96E-05,0.00015291
1.06E-06,1.07E-06,2.49E-04,5.45E-04,1.92E-06,9.13E-06,,1.66E-02,2.00E-02,6.59E-04,1.94E-03,8.96E-05,0.00015291
1.15E-06,1.01E-06,2.50E-04,5.49E-04,1.92E-06,9.14E-06,,1.66E-02,2.01E-02,6.60E-04,1.94E-03,8.96E-05,0.00015311
1.16E-06,1.22E-06,2.51E-04,5.52E-04,1.92E-06,9.65E-06,,1.67E-02,2.02E-02,6.61E-04,1.94E-03,8.96E-05,0.00015343
1.07E-06,1.06E-06,2.52E-04,5.57E-04,1.94E-06,9.88E-06,,1.68E-02,2.03E-02,6.62E-04,1.95E-03,8.96E-05,0.0001536
1.05E-06,1.08E-06,2.53E-04,5.61E-04,1.94E-06,1.00E-05,,1.69E-02,2.04E-02,6.63E-04,1.95E-03,8.96E-05,0.0001536
1.05E-06,1.06E-06,2.54E-04,5.65E-04,1.97E-06,1.00E-05,,1.70E-02,2.05E-02,6.64E-04,1.95E-03,8.96E-05,0.0001536
1.01E-06,1.01E-06,2.55E-04,5.68E-04,1.97E-06,1.01E-05,,1.70E-02,2.06E-02,6.65E-04,1.95E-03,8.96E-05,0.00015367
1.05E-06,1.05E-06,2.56E-04,5.71E-04,1.97E-06,1.02E-05,,1.71E-02,2.07E-02,6.66E-04,1.95E-03,8.96E-05,0.00015384
1.07E-06,1.06E-06,2.57E-04,5.74E-04,2.00E-06,1.02E-05,,1.72E-02,2.08E-02,6.67E-04,1.95E-03,8.96E-05,0.00015398
1.05E-06,1.05E-06,2.59E-04,5.78E-04,2.00E-06,1.04E-05,,1.73E-02,2.09E-02,6.68E-04,1.96E-03,8.96E-05,0.00015399
1.01E-06,1.01E-06,2.60E-04,5.81E-04,2.02E-06,1.05E-05,,1.74E-02,2.10E-02,6.69E-04,1.96E-03,8.96E-05,0.00015432
1.09E-06,1.05E-06,2.61E-04,5.85E-04,2.02E-06,1.05E-05,,1.74E-02,2.11E-02,6.70E-04,1.96E-03,8.96E-05,0.00015456
1.06E-06,1.07E-06,2.62E-04,5.88E-04,2.02E-06,1.05E-05,,1.75E-02,2.12E-02,6.71E-04,1.96E-03,8.96E-05,0.00015463
1.05E-06,1.05E-06,2.63E-04,5.92E-04,2.04E-06,1.06E-05,,1.76E-02,2.13E-02,6.72E-04,1.96E-03,8.96E-05,0.0001548
1.05E-06,1.05E-06,2.64E-04,5.95E-04,2.04E-06,1.06E-05,,1.77E-02,2.14E-02,6.73E-04,1.96E-03,8.96E-05,0.0001548
1.01E-06,1.01E-06,2.65E-04,5.99E-04,2.04E-06,1.06E-05,,1.78E-02,2.14E-02,6.74E-04,1.97E-03,8.96E-05,0.00015485
1.06E-06,1.05E-06,2.66E-04,6.02E-04,2.06E-06,1.06E-05,,1.79E-02,2.15E-02,6.75E-04,1.97E-03,8.96E-05,0.00015501
1.06E-06,1.05E-06,2.67E-04,6.06E-04,2.06E-06,1.06E-05,,1.79E-02,2.16E-02,6.76E-04,1.97E-03,8.96E-05,0.00015516
1.05E-06,1.05E-06,2.68E-04,6.09E-04,2.08E-06,1.06E-05,,1.80E-02,2.17E-02,6.77E-04,1.97E-03,8.96E-05,0.00015516
1.05E-06,1.05E-06,2.69E-04,6.13E-04,2.08E-06,1.06E-05,,1.81E-02,2.18E-02,6.78E-04,1.97E-03,8.96E-05,0.00015516
1.02E-06,1.01E-06,2.70E-04,6.17E-04,2.08E-06,1.06E-05,,1.82E-02,2.19E-02,6.79E-04,1.98E-03,8.96E-05,0.00015531
1.06E-06,1.06E-06,2.71E-04,6.20E-04,2.09E-06,1.06E-05,,1.83E-02,2.20E-02,6.80E-04,1.98E-03,8.96E-05,0.00015557
1.05E-06,1.05E-06,2.72E-04,6.24E-04,2.09E-06,1.06E-05,,1.83E-02,2.21E-02,6.81E-04,1.98E-03,8.96E-05,0.00015558
1.05E-06,1.05E-06,2.73E-04,6.27E-04,2.11E-06,1.06E-05,,1.84E-02,2.22E-02,6.82E-04,1.98E-03,8.96E-05,0.0001556
1.05E-06,1.01E-06,2.74E-04,6.31E-04,2.11E-06,1.06E-05,,1.85E-02,2.23E-02,6.83E-04,1.98E-03,8.96E-05,0.00015593
1.07E-06,1.06E-06,2.75E-04,6.35E-04,2.11E-06,1.06E-05,,1.86E-02,2.24E-02,6.84E-04,1.98E-03,8.96E-05,0.00015621
1.19E-06,1.05E-06,2.76E-04,6.38E-04,2.54E-06,1.06E-05,,1.86E-02,2.25E-02,6.85E-04,1.99E-03,8.96E-05,0.00015642
1.05E-06,1.05E-06,2.77E-04,6.42E-04,2.54E-06,1.06E-05,,1.87E-02,2.26E-02,6.86E-04,1.99E-03,8.96E-05,0.00015691
1.06E-06,1.06E-06,2.78E-04,6.46E-04,2.56E-06,1.06E-05,,1.88E-02,2.27E-02,6.87E-04,1.99E-03,8.96E-05,0.00015705
1.01E-06,1.01E-06,2.79E-04,6.50E-04,2.56E-06,1.06E-05,,1.89E-02,2.28E-02,6.88E-04,1.99E-03,8.96E-05,0.00015712
1.05E-06,1.05E-06,2.80E-04,6.54E-04,2.56E-06,1.07E-05,,1.89E-02,2.28E-02,6.89E-04,1.99E-03,8.96E-05,0.0001574
1.05E-06,1.05E-06,2.81E-04,6.57E-04,2.56E-06,1.07E-05,,1.90E-02,2.29E-02,6.90E-04,2.00E-03,8.96E-05,0.00015775
1.07E-06,1.07E-06,2.82E-04,6.61E-04,2.56E-06,1.07E-05,,1.91E-02,2.30E-02,6.91E-04,2.00E-03,8.96E-05,0.00015786
1.01E-06,1.01E-06,2.83E-04,6.65E-04,2.60E-06,1.07E-05,,1.92E-02,2.31E-02,6.92E-04,2.00E-03,8.96E-05,0.00015786
1.06E-06,1.05E-06,2.84E-04,6.69E-04,2.97E-06,1.07E-05,,1.92E-02,2.32E-02,6.93E-04,2.00E-03,8.96E-05,0.00015801
1.05E-06,1.05E-06,2.85E-04,6.74E-04,2.97E-06,1.07E-05,,1.93E-02,2.33E-02,6.94E-04,2.00E-03,8.96E-05,0.00015807
1.05E-06,1.05E-06,2.86E-04,6.79E-04,2.97E-06,1.07E-05,,1.94E-02,2.34E-02,6.95E-04,2.01E-03,8.96E-05,0.0001583
1.06E-06,1.05E-06,2.87E-04,6.86E-04,2.99E-06,1.07E-05,,1.95E-02,2.35E-02,6.96E-04,2.01E-03,8.96E-05,0.0001583
1.01E-06,1.01E-06,2.89E-04,6.95E-04,3.13E-06,1.07E-05,,1.95E-02,2.35E-02,6.97E-04,2.01E-03,8.96E-05,0.0001583
1.05E-06,1.05E-06,2.90E-04,6.99E-04,3.16E-06,1.07E-05,,1.96E-02,2.36E-02,6.98E-04,2.01E-03,8.96E-05,0.00015848
1.05E-06,1.05E-06,2.91E-04,7.03E-04,3.16E-06,1.07E-05,,1.97E-02,2.37E-02,6.99E-04,2.01E-03,8.96E-05,0.00015855
1.13E-06,1.05E-06,2.92E-04,7.07E-04,3.19E-06,1.07E-05,,1.98E-02,2.38E-02,7.00E-04,2.02E-03,8.96E-05,0.00015862
1.01E-06,1.01E-06,2.93E-04,7.11E-04,3.19E-06,1.07E-05,,1.98E-02,2.39E-02,7.01E-04,2.02E-03,8.96E-05,0.00015897
1.06E-06,1.05E-06,2.94E-04,7.15E-04,3.21E-06,1.07E-05,,1.99E-02,2.40E-02,7.02E-04,2.02E-03,8.96E-05,0.00015897
1.16E-06,1.16E-06,2.95E-04,7.20E-04,3.21E-06,1.07E-05,,2.00E-02,2.41E-02,7.03E-04,2.02E-03,8.96E-05,0.00015898
1.05E-06,1.05E-06,2.96E-04,7.24E-04,3.21E-06,1.07E-05,,2.01E-02,2.42E-02,7.04E-04,2.02E-03,8.96E-05,0.00015921
1.05E-06,1.05E-06,2.97E-04,7.29E-04,3.23E-06,1.07E-05,,2.01E-02,2.43E-02,7.05E-04,2.03E-03,8.96E-05,0.00015921
1.01E-06,1.01E-06,2.98E-04,7.33E-04,3.23E-06,1.08E-05,,2.02E-02,2.43E-02,7.06E-04,2.03E-03,8.96E-05,0.00015933
1.05E-06,1.05E-06,2.99E-04,7.37E-04,3.25E-06,1.08E-05,,2.03E-02,2.44E-02,7.07E-04,2.03E-03,8.96E-05,0.00015947
1.06E-06,1.46E-06,3.00E-04,7.41E-04,3.25E-06,1.08E-05,,2.04E-02,2.45E-02,7.08E-04,2.03E-03,8.96E-05,0.00015955
1.06E-06,1.73E-06,3.01E-04,7.48E-04,3.25E-06,1.08E-05,,2.04E-02,2.46E-02,7.09E-04,2.03E-03,8.96E-05,0.00015961
1.05E-06,1.09E-06,3.02E-04,7.57E-04,3.27E-06,1.08E-05,,2.05E-02,2.47E-02,7.10E-04,2.04E-03,8.96E-05,0.00015986
1.15E-06,1.01E-06,3.03E-04,7.61E-04,3.27E-06,1.08E-05,,2.06E-02,2.48E-02,7.11E-04,2.04E-03,8.96E-05,0.00015994
1.18E-06,1.06E-06,3.04E-04,7.66E-04,3.29E-06,1.08E-05,,2.07E-02,2.49E-02,7.12E-04,2.04E-03,8.96E-05,0.00016003
1.13E-06,1.05E-06,3.05E-04,7.70E-04,3.29E-06,1.08E-05,,2.07E-02,2.50E-02,7.13E-04,2.04E-03,8.96E-05,0.00016004
1.06E-06,1.05E-06,3.06E-04,7.74E-04,3.30E-06,1.09E-05,,2.08E-02,2.51E-02,7.14E-04,2.05E-03,8.96E-05,0.00016027
1.02E-06,1.01E-06,3.07E-04,7.79E-04,3.32E-06,1.09E-05,,2.09E-02,2.52E-02,7.15E-04,2.05E-03,8.96E-05,0.00016027
1.08E-06,1.07E-06,3.08E-04,7.83E-04,3.32E-06,1.09E-05,,2.09E-02,2.53E-02,7.16E-04,2.05E-03,8.96E-05,0.00016041
1.05E-06,1.05E-06,3.09E-04,7.87E-04,3.34E-06,1.09E-05,,2.10E-02,2.54E-02,7.17E-04,2.05E-03,8.96E-05,0.00016048
1.05E-06,1.05E-06,3.10E-04,7.92E-04,3.34E-06,1.10E-05,,2.11E-02,2.55E-02,7.18E-04,2.06E-03,8.96E-05,0.00016048
1.06E-06,1.05E-06,3.11E-04,7.96E-04,3.34E-06,1.10E-05,,2.12E-02,2.56E-02,7.19E-04,2.06E-03,8.96E-05,0.00016055
1.02E-06,1.01E-06,3.12E-04,8.00E-04,3.36E-06,1.11E-05,,2.12E-02,2.57E-02,7.20E-04,2.06E-03,8.97E-05,0.00016055
1.05E-06,1.05E-06,3.13E-04,8.05E-04,3.40E-06,1.11E-05,,2.13E-02,2.57E-02,7.21E-04,2.06E-03,8.97E-05,0.00016068
1.05E-06,1.05E-06,3.14E-04,8.09E-04,3.40E-06,1.12E-05,,2.14E-02,2.58E-02,7.22E-04,2.07E-03,8.98E-05,0.00016075
1.05E-06,1.05E-06,3.15E-04,8.14E-04,3.43E-06,1.12E-05,,2.15E-02,2.59E-02,7.23E-04,2.07E-03,8.98E-05,0.00016082
1.01E-06,1.04E-06,3.16E-04,8.19E-04,3.43E-06,1.13E-05,,2.15E-02,2.60E-02,7.24E-04,2.07E-03,8.98E-05,0.00016094
1.06E-06,1.06E-06,3.18E-04,8.23E-04,3.43E-06,1.13E-05,,2.16E-02,2.61E-02,7.25E-04,2.07E-03,8.98E-05,0.00016103
1.05E-06,1.05E-06,3.19E-04,8.27E-04,3.45E-06,1.14E-05,,2.17E-02,2.62E-02,7.26E-04,2.07E-03,8.98E-05,0.00016103
1.05E-06,1.05E-06,3.20E-04,8.32E-04,3.45E-06,1.15E-05,,2.18E-02,2.63E-02,7.27E-04,2.08E-03,8.98E-05,0.00016103
1.05E-06,1.05E-06,3.21E-04,8.37E-04,3.45E-06,1.15E-05,,2.19E-02,2.64E-02,7.28E-04,2.08E-03,8.98E-05,0.0001612
1.04E-06,1.01E-06,3.22E-04,8.41E-04,3.47E-06,1.16E-05,,2.19E-02,2.64E-02,7.29E-04,2.08E-03,8.98E-05,0.00016122
1.06E-06,1.05E-06,3.23E-04,8.46E-04,3.47E-06,1.17E-05,,2.20E-02,2.65E-02,7.30E-04,2.08E-03,8.98E-05,0.00016122
1.05E-06,1.05E-06,3.24E-04,8.50E-04,3.56E-06,1.18E-05,,2.21E-02,2.66E-02,7.31E-04,2.09E-03,8.98E-05,0.00016122
1.05E-06,1.05E-06,3.25E-04,8.55E-04,3.56E-06,1.18E-05,,2.21E-02,2.67E-02,7.32E-04,2.09E-03,8.98E-05,0.00016122
1.02E-06,1.01E-06,3.26E-04,8.60E-04,3.56E-06,1.19E-05,,2.22E-02,2.68E-02,7.33E-04,2.09E-03,8.98E-05,0.00016133
1.05E-06,1.05E-06,3.27E-04,8.65E-04,3.58E-06,1.20E-05,,2.23E-02,2.69E-02,7.34E-04,2.09E-03,8.98E-05,0.00016134
1.05E-06,1.05E-06,3.28E-04,8.75E-04,3.59E-06,1.21E-05,,2.24E-02,2.69E-02,7.35E-04,2.09E-03,8.98E-05,0.00016159
1.05E-06,1.05E-06,3.29E-04,8.81E-04,3.61E-06,1.23E-05,,2.25E-02,2.70E-02,7.36E-04,2.10E-03,8.98E-05,0.0001616
1.05E-06,1.07E-06,3.30E-04,8.86E-04,3.61E-06,1.24E-05,,2.26E-02,2.71E-02,7.37E-04,2.10E-03,8.98E-05,0.00016162
1.02E-06,1.01E-06,3.31E-04,8.91E-04,3.61E-06,1.25E-05,,2.27E-02,2.72E-02,7.38E-04,2.10E-03,8.98E-05,0.0001617
1.05E-06,1.05E-06,3.32E-04,8.96E-04,3.63E-06,1.26E-05,,2.28E-02,2.73E-02,7.39E-04,2.10E-03,8.98E-05,0.00016197
1.05E-06,1.05E-06,3.33E-04,9.00E-04,3.63E-06,1.28E-05,,2.28E-02,2.74E-02,7.40E-04,2.11E-03,8.98E-05,0.00016209
1.05E-06,1.08E-06,3.34E-04,9.04E-04,3.65E-06,1.29E-05,,2.29E-02,2.74E-02,7.41E-04,2.11E-03,8.98E-05,0.00016217
1.05E-06,1.05E-06,3.35E-04,9.09E-04,3.65E-06,1.31E-05,,2.30E-02,2.75E-02,7.42E-04,2.11E-03,8.98E-05,0.00016236
1.01E-06,1.01E-06,3.36E-04,9.14E-04,3.65E-06,1.34E-05,,2.31E-02,2.76E-02,7.43E-04,2.11E-03,8.98E-05,0.00016271
1.05E-06,1.05E-06,3.37E-04,9.21E-04,3.67E-06,1.36E-05,,2.31E-02,2.77E-02,7.44E-04,2.12E-03,8.98E-05,0.00016274
1.19E-06,1.23E-06,3.38E-04,9.27E-04,3.68E-06,1.37E-05,,2.32E-02,2.78E-02,7.45E-04,2.12E-03,8.98E-05,0.00016293
1.11E-06,1.05E-06,3.39E-04,9.33E-04,3.68E-06,1.39E-05,,2.33E-02,2.78E-02,7.46E-04,2.12E-03,8.98E-05,0.00016324
